t[s],x[m],y[m]
31.4392316341,-0.217915043235,-0.0730373561382
31.6972846985,-0.217915043235,-0.0730373561382
32.0116791725,-0.283203750849,-0.0908159092069
32.2275841236,-0.220808744431,-0.0514932498336
32.4914300442,-0.26875641942,-0.104692928493
32.7280294895,-0.167479306459,-0.0642995163798
32.9808139801,-0.132769346237,0.000897963822354
33.2117125988,-0.132769346237,0.000897963822354
33.4465761185,-0.0399915017188,-0.031188653782
33.7232396603,-0.199949085712,-0.117699801922
34.0631046295,-0.251327782869,-0.140228047967
34.197268486,-0.251327782869,-0.140228047967
34.4457125664,-0.235032916069,-0.135491967201
34.7014513016,-3.86843681335,-0.0218941308558
35.0494766235,-4.02983617783,-0.15582947433
35.2008628845,-4.05062818527,0.317906975746
35.4483397007,-0.962265789509,-1.55575358868
35.7068324089,-0.962265789509,-1.55575358868
36.0480179787,-2.65600275993,-2.51096248627
36.2103228569,1.80281102657,3.5233464241
36.4614582062,-3.77957606316,0.519244015217
36.6993155479,-3.77957606316,0.519244015217
37.0357530117,2.25695848465,3.54940652847
37.2070879936,-3.79847240448,0.0598921477795
37.4465289116,-4.369597435,-0.0757092386484
37.701621294,-4.43204259872,-0.133304432034
38.0031249523,-3.96785449982,-2.11429548264
38.2084105015,-3.96785449982,-2.11429548264
38.4504687786,0.218965649605,-0.885306298733
38.7296550274,0.398254573345,-1.21167910099
38.9717178345,0.534748673439,-1.00042283535
39.2106289864,0.534748673439,-1.00042283535
39.4512870312,0.398718565702,-1.34285986423
39.7454886436,0.933150887489,-0.544042348862
40.017115593,0.876694083214,-0.464143157005
40.2082710266,0.767417311668,-0.534670889378
40.4443221092,0.761166274548,-0.655344188213
40.7475140095,0.761166274548,-0.655344188213
41.0104286671,-4.08401155472,-0.118282794952
41.1928076744,0.0385669060051,-0.0396981351078
41.4438261986,0.144789472222,0.209713250399
41.7127459049,0.144789472222,0.209713250399
42.005382061,0.107549190521,0.238556653261
42.201996088,-3.93774819374,0.818317949772
42.4764740467,-4.33407306671,-0.0260616894811
42.6909739971,-4.56575298309,-0.0391219109297
42.9788866043,-0.609207689762,2.82380127907
43.1963813305,-0.609207689762,2.82380127907
43.4481582642,1.55522167683,3.7589392662
43.6993374825,0.0523764751852,-0.229394763708
44.0151119232,-3.83106398582,-0.711817145348
44.2483637333,-3.83106398582,-0.711817145348
44.4507043362,-0.369113028049,-1.46661496162
44.7026042938,0.0978697612882,-1.39069414139
45.0102992058,-3.90462040901,-0.631790459156
45.235496521,-4.32589244843,-0.141365662217
45.4909818172,-0.378534197807,-2.44823980331
45.7166688442,-0.378534197807,-2.44823980331
46.0085065365,-0.0656842142344,2.61913013458
46.1941506863,-4.24890041351,-0.590659439564
46.4449796677,-4.24890041351,-0.590659439564
46.707233429,-0.619950175285,2.43998169899
47.0035426617,0.0757703855634,0.216805428267
47.2049472332,0.341517835855,-0.566630423069
47.4580287933,0.0337900817394,2.69725871086
47.7288146019,-3.66856598854,1.03937733173
47.991430521,0.0279751345515,0.13579583168
48.2047786713,0.0279751345515,0.13579583168
48.4481656551,-0.0503384172916,3.22092223167
48.7470946312,0.097761772573,2.9001352787
49.0006577969,0.25003105402,-0.708634674549
49.2011671066,0.260700702667,-0.41466075182
49.447078228,0.260700702667,-0.41466075182
49.7363669872,0.344265878201,-0.174799770117
50.0019636154,0.287150591612,-0.172518283129
50.1940720081,0.230362504721,-1.38037729263
50.447401762,0.207747802138,-1.05953931808
50.7277057171,0.207747802138,-1.05953931808
51.0586638451,0.28163343668,-1.20846092701
51.1965818405,0.229671820998,-0.287278681993
51.4484398365,0.229671820998,-0.287278681993
51.7062213421,0.35318416357,-0.263680368662
52.0547010899,0.384013861418,-0.248227998614
52.1989254951,0.42041310668,-0.260640203953
52.4469606876,0.297282278538,-0.238326340914
52.699463129,0.328862190247,-0.294240325689
53.0700602531,0.384982407093,-0.298313498497
53.206379652,0.384982407093,-0.298313498497
53.4471805096,0.327955365181,-0.360123276711
53.6920235157,0.327955365181,-0.360123276711
54.0368301868,0.355490207672,-0.415569633245
54.2051246166,0.351646542549,-0.846672296524
54.4482908249,0.364886134863,-0.367717474699
54.6984996796,0.357722103596,-0.433946073055
55.0282707214,0.305152237415,-0.372316390276
55.191321373,0.323008537292,-0.34692248702
55.4448802471,0.358669281006,-0.468748003244
55.7081894875,0.358669281006,-0.468748003244
56.0876207352,0.337419450283,-0.449905276299
56.1975829601,0.244335576892,-0.42343595624
56.4502294064,0.244335576892,-0.42343595624
56.6918022633,0.289795964956,-0.489253073931
57.0287549496,0.286971122026,-0.518398463726
57.1926205158,0.302296608686,-0.55493414402
57.4510900974,0.277698159218,-0.397006005049
57.6940925121,0.244648873806,-0.567597985268
58.0584778786,0.280367970467,-0.478332191706
58.202655077,0.280367970467,-0.478332191706
58.4525544643,0.173749431968,-0.848195135593
58.7022447586,0.255394637585,-0.569950342178
59.0594286919,0.215002223849,-0.550687491894
59.1975831985,0.215002223849,-0.550687491894
59.4570958614,0.244291976094,-0.867068767548
59.7201566696,0.221011951566,-0.521125078201
60.0554797649,0.248871043324,-0.677746236324
60.203458786,0.245549157262,-0.655139088631
60.4373533726,0.267119944096,-0.59727871418
60.7003085613,0.267119944096,-0.59727871418
61.0408809185,0.224358215928,-0.509714484215
61.2019546032,0.186681345105,-0.611068308353
61.4414503574,0.102192521095,-0.482911527157
61.7028284073,0.102192521095,-0.482911527157
62.0764832497,0.127949744463,-0.504794716835
62.2638351917,0.0717281103134,-0.469083696604
62.4494566917,0.035102467984,-0.467740446329
62.7018487453,0.0250873304904,-0.417182654142
63.0703930855,-0.085157237947,-0.268995970488
63.1870875359,-0.085157237947,-0.268995970488
63.4553623199,-0.0991115570068,-0.739002585411
63.7038960457,-0.113831967115,-0.241668105125
64.0813274384,-0.200703307986,-0.0764348953962
64.1967089176,-0.200703307986,-0.0764348953962
64.4486057758,-0.154567137361,-0.0719091966748
64.6903457642,-0.160207986832,-0.078694306314
65.0756900311,-0.232143089175,0.0103331431746
65.2089278698,-0.170822232962,0.112672664225
65.4423000813,-0.165439575911,0.0149052832276
65.7094898224,-0.165439575911,0.0149052832276
66.0347459316,-0.16063824296,0.181290313601
66.1992659569,-0.171406641603,0.135590970516
66.4598536491,-0.106556229293,0.0949890762568
66.701821804,-0.0375292599201,0.120430424809
67.0302941799,-0.0288024079055,0.206128656864
67.2052872181,-0.0288024079055,0.206128656864
67.4455196857,0.0145293679088,0.122634410858
67.7005579472,-0.00212291907519,0.0758589580655
68.0301058292,-0.00427204789594,0.0209084413946
68.1923148632,-0.00427204789594,0.0209084413946
68.4597005844,0.027731847018,0.0481876470149
68.7081387043,0.0886557996273,0.0164905898273
69.0859589577,0.0760445222259,-0.0373779758811
69.2098557949,0.0577177293599,0.030143847689
69.4421675205,0.0529801808298,0.000331578834448
69.6983852386,0.0529801808298,0.000331578834448
70.0778765678,0.00536698801443,-0.147665813565
70.2065246105,0.00536698801443,-0.147665813565
70.456466198,0.0613541379571,-0.110567629337
70.7005701065,0.0613541379571,-0.110567629337
71.0598256588,0.0613083913922,-0.13028524816
71.2048594952,0.00563181564212,-0.122865967453
71.4604187012,0.0406267568469,-0.0304708387703
71.6980288029,0.015005310066,-0.0393809564412
72.0577774048,0.0146994870156,0.0422864444554
72.2061648369,0.0106636900455,-0.11342535913
72.4488704205,0.0106636900455,-0.11342535913
72.7054646015,-0.00151941902004,-0.0181301943958
73.0465288162,-0.0311992373317,-0.0961975902319
73.2010684013,-0.0218092296273,-0.124135673046
73.4482204914,-0.0525332316756,-0.0649643912911
73.7067115307,-0.0525332316756,-0.0649643912911
74.1083753109,-0.0506705157459,-0.0369335487485
74.2033233643,-0.0506705157459,-0.0369335487485
74.4397330284,-0.076333783567,-0.124027118087
74.7058329582,-0.139717400074,-0.164297223091
75.0823893547,-0.0244111940265,-0.0644414871931
75.1952433586,-0.140918120742,-0.0472593121231
75.449649334,-0.140918120742,-0.0472593121231
75.6900258064,-0.160038918257,-0.0834374204278
76.0162758827,-0.111055999994,-0.0676876679063
76.2018265724,-0.111055999994,-0.0676876679063
76.4502146244,-0.0986421108246,-0.130668446422
76.7037456036,-0.196546286345,-0.144208803773
76.9884762764,-0.131576940417,-0.161970570683
77.2017059326,-0.147521644831,-0.156749382615
77.4572043419,-0.192141234875,-0.0818147137761
77.708496809,-0.176009789109,-0.16861397028
77.9943037033,-0.176009789109,-0.16861397028
78.192940712,-0.125339120626,-0.0730773434043
78.4613170624,-0.106432370842,-0.0755022764206
78.7280886173,-0.106432370842,-0.0755022764206
79.0045511723,-0.137882083654,-0.00850455649197
79.1979191303,-0.137882083654,-0.00850455649197
79.4646134377,-0.0678680092096,0.0263168606907
79.7520940304,-0.0527559146285,0.0825524404645
79.9994969368,-0.0514656230807,0.0296613760293
80.1960203648,-0.0392051190138,0.0407227277756
80.4472756386,-0.0392051190138,0.0407227277756
80.7477035522,-0.0554098114371,-0.0013075794559
81.0150096416,-0.0195726566017,-0.0177509505302
81.2072966099,-0.0560216419399,-0.121317781508
81.4434449673,0.0615201257169,0.00700626615435
